GEOID,pct_white,pct_black,pct_not_white,majority_not_white,median_ageE,median_incomeE,maj_anc_type,maj_anc_group
36047080400,0.1346329576606762,0.7660676210782821,0.8653670423393238,TRUE,38.7,27402,WestIndianexceptHispanicgroups,West Indies
36047082600,0.08322349839954811,0.8299755225004707,0.9167765016004519,TRUE,37.7,29227,WestIndianexceptHispanicgroups,West Indies
36047085600,0.03834631515877771,0.8541042540443379,0.9616536848412223,TRUE,41,25878,WestIndianexceptHispanicgroups,West Indies
36047088600,0.03919738684087728,0.8593093793747083,0.9608026131591227,TRUE,36.8,24239,WestIndianexceptHispanicgroups,West Indies
36047088800,0.012268462833774356,0.8616790955015636,0.9877315371662256,TRUE,41.3,29205,WestIndianexceptHispanicgroups,West Indies
36047091200,0.10900304277787722,0.7282978342580991,0.8909969572221228,TRUE,30.7,11137,American,United States
36047095000,0.09581881533101046,0.8825783972125436,0.9041811846689896,TRUE,41.1,36371,WestIndianexceptHispanicgroups,West Indies
36047056000,0.8649801023308699,0.019329164297896533,0.1350198976691302,FALSE,44.6,32038,Russian,Europe
36047055100,0.6154868096412982,0.10836970962231923,0.38451319035870185,FALSE,34.6,40373,American,United States
36047055400,0.7801530153015301,0,0.21984698469846986,FALSE,34.3,29881,Russian,Europe
36047056200,0.8890834792761237,0,0.11091652072387624,FALSE,42.1,45938,Arab,Middle East
36047057400,0.4633642930856553,0.013415892672858616,0.5366357069143447,TRUE,45.8,26140,American,United States
36047057800,0.5815393689177234,0.01798879386611619,0.4184606310822766,FALSE,36,26406,Russian,Europe
36047059000,0.471955533097524,0.08893380495199596,0.528044466902476,TRUE,35.2,21735,Russian,Europe
36047061600,0.9119453924914676,0.048464163822525594,0.08805460750853242,FALSE,65.9,30917,Russian,Europe
36047065600,0.7953776775648252,0.009582863585118376,0.20462232243517475,FALSE,38.6,40083,Italian,Europe
36047067200,0.11394658753709198,0.7679525222551928,0.886053412462908,TRUE,38.6,37439,WestIndianexceptHispanicgroups,West Indies
36047070201,0.8608595422361272,0.03737856084307591,0.13914045776387288,FALSE,45.9,37500,Italian,Europe
36047073000,0.08079930495221546,0.8631624674196351,0.9192006950477846,TRUE,39,37261,WestIndianexceptHispanicgroups,West Indies
36047029900,0.06570080862533692,0.7314690026954178,0.9342991913746631,TRUE,33.8,21738,WestIndianexceptHispanicgroups,West Indies
36047022100,0.35705337008268606,0.49736908043096967,0.642946629917314,TRUE,33.7,33712,WestIndianexceptHispanicgroups,West Indies
36047022400,0.7601864640883977,0.001899171270718232,0.2398135359116022,FALSE,19.7,19825,American,United States
36047023100,0.45245356251732743,0.4116994732464652,0.5475464374826726,TRUE,34.4,42656,Irish,Europe
36047023600,0.9298333333333333,0.0023333333333333335,0.07016666666666667,FALSE,21.2,14723,American,United States
36047024700,0.19562670831706364,0.6352987114408434,0.8043732916829364,TRUE,30,23803,WestIndianexceptHispanicgroups,West Indies
36047024900,0.30051091500232235,0.5908035299581978,0.6994890849976777,TRUE,34.5,37477,WestIndianexceptHispanicgroups,West Indies
36047025600,0.24601063829787234,0.018949468085106384,0.7539893617021277,TRUE,38.5,21350,American,United States
36047027800,0.40882800608828007,0.00821917808219178,0.5911719939117199,TRUE,42.4,26051,Italian,Europe
36047028501,0.47835497835497837,0.02813852813852814,0.5216450216450217,TRUE,34.3,29886,Norwegian,Europe
36047028900,0.1958656330749354,0.5963824289405685,0.8041343669250646,TRUE,30.2,22804,WestIndianexceptHispanicgroups,West Indies
36047029100,0.25418517253160233,0.6576699692517937,0.7458148274683977,TRUE,33.6,35387,WestIndianexceptHispanicgroups,West Indies
